Date,DGS2,DGS5,DGS10,DGS30
2018-01-02,1.92,2.25,2.46,2.81
2018-01-03,1.94,2.25,2.44,2.78
2018-01-04,1.96,2.27,2.46,2.79
2018-01-05,1.96,2.29,2.47,2.81
2018-01-08,1.96,2.29,2.49,2.81
2018-01-09,1.98,2.33,2.55,2.88
2018-01-10,1.98,2.32,2.55,2.88
2018-01-11,1.98,2.32,2.54,2.91
2018-01-12,1.99,2.35,2.55,2.85
2018-01-15,#N/A,#N/A,#N/A,#N/A
2018-01-16,2.03,2.36,2.54,2.83
2018-01-17,2.05,2.39,2.57,2.84
2018-01-18,2.05,2.43,2.62,2.90
2018-01-19,2.06,2.45,2.64,2.91
2018-01-22,2.08,2.46,2.66,2.93
2018-01-23,2.06,2.43,2.63,2.90
2018-01-24,2.08,2.43,2.65,2.93
2018-01-25,2.08,2.41,2.63,2.89
2018-01-26,2.13,2.47,2.66,2.91
2018-01-29,2.11,2.49,2.70,2.94
2018-01-30,2.13,2.51,2.73,2.98
2018-01-31,2.14,2.52,2.72,2.95
2018-02-01,2.16,2.56,2.78,3.01
2018-02-02,2.15,2.58,2.84,3.08
2018-02-05,2.08,2.50,2.77,3.04
2018-02-06,2.10,2.52,2.79,3.06
2018-02-07,2.15,2.57,2.84,3.12
2018-02-08,2.13,2.57,2.85,3.14
2018-02-09,2.05,2.52,2.83,3.14
2018-02-12,2.09,2.56,2.86,3.14
2018-02-13,2.10,2.54,2.83,3.11
2018-02-14,2.17,2.65,2.91,3.18
2018-02-15,2.19,2.65,2.90,3.15
2018-02-16,2.21,2.63,2.87,3.13
2018-02-19,#N/A,#N/A,#N/A,#N/A
2018-02-20,2.25,2.65,2.88,3.15
2018-02-21,2.26,2.69,2.94,3.22
2018-02-22,2.25,2.66,2.92,3.21
2018-02-23,2.25,2.62,2.88,3.16
2018-02-26,2.22,2.60,2.86,3.15
2018-02-27,2.27,2.67,2.90,3.17
2018-02-28,2.25,2.65,2.87,3.13
2018-03-01,2.22,2.58,2.81,3.09
2018-03-02,2.25,2.63,2.86,3.14
2018-03-05,2.24,2.65,2.88,3.16
2018-03-06,2.25,2.65,2.88,3.14
2018-03-07,2.25,2.65,2.89,3.15
2018-03-08,2.25,2.63,2.86,3.13
2018-03-09,2.27,2.65,2.90,3.16
2018-03-12,2.27,2.64,2.87,3.13
2018-03-13,2.26,2.62,2.84,3.10
2018-03-14,2.26,2.61,2.81,3.05
2018-03-15,2.29,2.62,2.82,3.05
2018-03-16,2.31,2.65,2.85,3.08
2018-03-19,2.31,2.65,2.85,3.09
2018-03-20,2.34,2.69,2.89,3.12
2018-03-21,2.31,2.69,2.89,3.12
2018-03-22,2.29,2.63,2.83,3.06
2018-03-23,2.28,2.61,2.82,3.06
2018-03-26,2.33,2.64,2.85,3.08
2018-03-27,2.26,2.58,2.78,3.03
2018-03-28,2.28,2.59,2.77,3.01
2018-03-29,2.27,2.56,2.74,2.97
2018-03-30,#N/A,#N/A,#N/A,#N/A
2018-04-02,2.25,2.55,2.73,2.97
2018-04-03,2.28,2.60,2.79,3.02
2018-04-04,2.28,2.61,2.79,3.03
2018-04-05,2.30,2.64,2.83,3.07
2018-04-06,2.27,2.58,2.77,3.01
2018-04-09,2.29,2.60,2.78,3.02
2018-04-10,2.32,2.62,2.80,3.02
2018-04-11,2.32,2.62,2.79,2.99
2018-04-12,2.34,2.67,2.83,3.05
2018-04-13,2.37,2.67,2.82,3.03
2018-04-16,2.39,2.69,2.83,3.03
2018-04-17,2.41,2.68,2.82,3.00
2018-04-18,2.42,2.73,2.87,3.06
2018-04-19,2.44,2.77,2.92,3.11
2018-04-20,2.46,2.80,2.96,3.14
2018-04-23,2.49,2.83,2.98,3.15
2018-04-24,2.48,2.83,3.00,3.18
2018-04-25,2.49,2.84,3.03,3.21
2018-04-26,2.49,2.82,3.00,3.18
2018-04-27,2.49,2.80,2.96,3.13
2018-04-30,2.49,2.79,2.95,3.11
2018-05-01,2.50,2.82,2.97,3.13
2018-05-02,2.49,2.80,2.97,3.14
2018-05-03,2.49,2.78,2.94,3.12
2018-05-04,2.51,2.78,2.95,3.12
2018-05-07,2.49,2.78,2.95,3.12
2018-05-08,2.51,2.81,2.97,3.13
2018-05-09,2.54,2.84,3.00,3.16
2018-05-10,2.54,2.83,2.97,3.12
2018-05-11,2.54,2.84,2.97,3.10
2018-05-14,2.55,2.85,3.00,3.13
2018-05-15,2.58,2.92,3.08,3.20
